,Direction,Term,Overlap,P.value,Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
1,up,"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200", 51/112,3.52E-27,5.10E-24,10.16835013,619.3566848,COX7B;NDUFA12;ETFA;COX7C;NDUFC2;NDUFC1;SDHD;COX6B1;NDUFS7;NDUFS6;NDUFS5;NDUFS2;COX16;NDUFB5;NDUFB3;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;UQCRH;ATP5MC1;ATP5F1B;COX14;NDUFV3;ATP5MG;ATP5MF;ATP5ME;NDUFA9;ATP5PF;COA1;TIMMDC1;NDUFA5;NUBPL;NDUFA3;NDUFA2;NDUFA1;ATP5F1C;COX6C;ATP5F1D;ATP5F1E;NDUFAF6;UQCRQ;NDUFAB1;NDUFAF2;ATP5PO;CYCS;NDUFAF3
2,up,Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517, 60/163,1.09E-25,7.86E-23,7.11090714,408.7435124,COX7B;NDUFA12;ETFA;COX7C;IDH3A;PDHX;NDUFC2;NDUFC1;SDHD;COX6B1;NDUFS7;NDUFS6;NDUFS5;NDUFS2;HAGH;COX16;NDUFB5;NDUFB3;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;UQCRH;ATP5MC1;LDHB;ATP5F1B;COX14;NDUFV3;ATP5MG;LDLR;ATP5MF;ATP5ME;NDUFA9;ATP5PF;COA1;SLC16A1;TIMMDC1;NDUFA5;MDH2;NUBPL;NDUFA3;NDUFA2;NDUFA1;ATP5F1C;COX6C;ATP5F1D;ATP5F1E;SUCLA2;NDUFAF6;UQCRQ;NDUFAB1;NDUFAF2;ATP5PO;CYCS;NDUFAF3;ACO2
3,up,Respiratory Electron Transport R-HSA-611105, 39/90,3.81E-20,1.84E-17,9.232204241,412.8066958,COX7B;COX16;NDUFA12;NDUFB5;NDUFB3;NDUFB2;NDUFB1;ETFA;UQCR11;UQCR10;COX5B;COX7C;COX5A;UQCRH;COX14;NDUFV3;NDUFA9;COA1;TIMMDC1;NDUFA5;NUBPL;NDUFA3;NDUFA2;NDUFA1;NDUFC2;NDUFC1;SDHD;COX6C;COX6B1;NDUFS7;NDUFAF6;NDUFS6;UQCRQ;NDUFS5;NDUFAB1;NDUFAF2;NDUFS2;CYCS;NDUFAF3
4,up,Nervous System Development R-HSA-9675108, 98/545,3.79E-15,1.37E-12,2.694218286,89.46742702,SEMA5A;TRIO;ITSN1;PITPNA;ARHGAP35;PSMD9;RPS6KA5;RPL36AL;DPYSL3;RPS13;EPHA4;EPHA7;PRKCA;UNC5C;ANK2;ANK3;RBX1;CACNB2;MYL6;COL4A2;COL4A5;PFN1;TLN1;MYL9;SDC2;CUL2;PIK3R3;CACNA1D;CACNA1C;RPS4Y1;EFNA5;MRPL13;KALRN;GSPT1;MYL12A;SDCBP;EFNB3;RRAS;PRKAR2A;ABL1;PLXNA2;ABL2;SRGAP2;PLXNA4;SPTBN1;WWTR1;PRNP;UPF3A;MAGOHB;PTK2;SEM1;DLG1;ITGB1;ROBO2;NRP1;GSK3B;SH3KBP1;ARPC1A;LAMC1;ROBO1;ELOB;ITGAV;ELOC;TEAD1;HRAS;SPTAN1;PSENEN;ARHGEF11;ARHGEF12;TRPC1;GAB2;RHOC;SREBF2;DNM2;PSMA6;PSMA2;COL6A2;SOS1;DOCK1;YAP1;LAMA2;SEMA3A;RPS27L;PSMB10;CDC42;ABLIM1;MAPK8;RELN;PSMB2;PSMB3;PSMB1;NCAM1;SLIT3;SLIT2;CLASP1;CLASP2;PKN2;RPL22L1
5,up,Axon Guidance R-HSA-422475, 93/519,2.43E-14,7.03E-12,2.676785012,83.91248281,SEMA5A;ITGB1;ROBO2;NRP1;GSK3B;TRIO;SH3KBP1;ITSN1;ARPC1A;PITPNA;LAMC1;ARHGAP35;ROBO1;PSMD9;RPS6KA5;RPL36AL;DPYSL3;ELOB;ITGAV;ELOC;HRAS;SPTAN1;RPS13;PSENEN;ARHGEF11;EPHA4;EPHA7;ARHGEF12;TRPC1;PRKCA;UNC5C;ANK2;ANK3;GAB2;RHOC;RBX1;DNM2;PSMA6;CACNB2;MYL6;COL4A2;PSMA2;COL6A2;COL4A5;SOS1;PFN1;TLN1;MYL9;DOCK1;SEMA3A;SDC2;CUL2;RPS27L;PIK3R3;CACNA1D;CACNA1C;RPS4Y1;EFNA5;MRPL13;KALRN;GSPT1;MYL12A;PSMB10;CDC42;SDCBP;ABLIM1;MAPK8;RELN;EFNB3;PSMB2;RRAS;PSMB3;PRKAR2A;PSMB1;ABL1;PLXNA2;ABL2;NCAM1;SLIT3;SLIT2;SRGAP2;PLXNA4;SPTBN1;CLASP1;CLASP2;PRNP;UPF3A;MAGOHB;PTK2;SEM1;DLG1;PKN2;RPL22L1
6,down,Complex I Biogenesis R-HSA-6799198, 24/51,6.51E-14,1.57E-11,10.64065886,323.0726739,NDUFA9;COA1;TIMMDC1;NDUFA5;NDUFA12;NDUFB5;NUBPL;NDUFA3;NDUFB3;NDUFA2;NDUFB2;NDUFA1;NDUFC2;NDUFB1;NDUFC1;NDUFS7;NDUFAF6;NDUFS6;NDUFS5;NDUFAB1;NDUFAF2;NDUFS2;NDUFAF3;NDUFV3
7,down,Muscle Contraction R-HSA-397014, 47/196,2.43E-12,5.01E-10,3.807929652,101.8433348,RYR2;CAMK2D;DYSF;LMOD1;ATP2A2;GATA4;CACNA1C;MYL12A;SLC8A1;PLN;NPPA;TNNI1;DMD;NKX2-5;CORIN;MYBPC3;TMOD1;WWTR1;GUCY1A1;ANXA1;ACTN2;TRPC1;TPM1;KCNIP4;ATP2B4;PRKCA;SORBS1;HIPK1;ATP1B1;TBX5;TRDN;MYL4;ACTA2;CACNB2;MYL6;MYL7;ASPH;TNNT2;MYL3;TCAP;PKN2;PDE5A;TLN1;FGF13;MYL9;VCL;MYH6
8,down,Cristae Formation R-HSA-8949613, 17/29,2.89E-12,5.22E-10,16.89546926,448.9295762,ATP5PF;MTX2;ATP5MC2;ATP5MC3;MICOS13;MICOS10;ATP5F1C;ATP5F1D;ATP5F1E;ATP5MC1;APOO;ATP5F1B;CHCHD3;ATP5PO;ATP5MG;ATP5MF;ATP5ME
9,down,Signal Transduction R-HSA-162582, 281/2465,9.86E-12,1.58E-09,1.632543686,41.37349118,ITSN2;CYFIP2;VPS29;TRIO;SPARC;TFRC;MAML2;ITSN1;PSMD9;RPS6KA5;BAIAP2L1;AKT3;PIP4K2A;BTRC;SOX6;RNF111;WLS;SKP1;MEF2A;PDHX;MEF2C;ATP6V0E1;RBFOX2;FNBP1;ACTN2;ACTN1;PRKCE;MRTFA;PRKCA;TIAM2;MYL6;DAAM1;PRKAR1A;PARD3;MAML3;TLN1;PFN1;MYL9;TMEM87A;CTBP2;MAGED1;PIK3R3;NLK;KALRN;HIF1A;SNX3;PPP3R1;GNG10;FLRT2;PDGFD;PRKAR2A;PIP5K1A;ST3GAL6;SPTBN1;SCAI;ST3GAL3;WWTR1;JAG1;JUND;INSR;BRAF;GNG12;PBX1;PTK2;COL1A2;AGO3;PDE3A;STRN;CDC42SE2;NRP1;CDKN1A;PTPRS;CAB39L;SH3KBP1;ARPC1A;PRKAG2;PTPRJ;PTPRK;ARHGAP6;GLI3;RPTOR;AKAP13;PPP3CA;PPP3CC;MECOM;C1QBP;RSPO3;SPTAN1;HRAS;PSENEN;NCOA1;NCOA2;LYPLA1;ANXA1;STRADB;TCF12;EPS15L1;GAB2;RHOC;PSMA6;PLCB4;MRAS;HNRNPH1;PSMA2;ARHGEF3;RAPGEF2;PLCB1;MAPRE1;ATP6V0C;RHOQ;PAFAH1B1;RAB7A;YAP1;KANK1;PHLPP1;NEDD8;PRICKLE1;PTN;TRAK1;TANK;PPP2CB;PSMB2;PSMB3;PSMB1;RICTOR;SHOC2;EPS15;DYNC1I1;WWOX;CAVIN1;CSNK1A1;KIDINS220;RYK;STAT3;ERBIN;WWP1;GATAD2B;SEPTIN7;KTN1;FKBP1A;TJP1;TMEM59;ITCH;TAOK1;DLC1;ABI1;CTNNB1;PKN2;FILIP1;LGR4;CHRM2;SH3GL3;CCNT2;FAM13B;IRS1;FAM13A;RORA;MSI2;ARHGAP35;IGF1R;PPP1CB;ARHGAP44;RGS5;ARHGAP42;SCMH1;KPNA2;WNT5B;RALGAPA1;RBX1;COL4A2;TBL1XR1;COL4A5;VCL;DGKI;TNKS;RASAL2;LTBP1;RTN4;RAP1A;STK38;ABL1;ABL2;SRGAP2;RAB6A;MARK3;MAP2K5;SMAD2;TGFB2;POU2F1;SMAD3;TGFB1;SMURF2;SMURF1;ARHGAP26;DRAP1;SEM1;CDK8;ARHGAP32;BMP2;FER;ARHGAP31;DLG1;DIAPH3;NBEA;BAMBI;RHEB;GNAQ;GNAS;GNB4;NF1;TAB2;FGF13;MXD4;BMPR1A;PICALM;ITGB1;GSK3B;DOCK4;BMPR2;DOCK9;ATP2A2;HSPB1;LAMC1;SPRED2;ITGAV;PRKG1;YWHAG;YWHAH;ARHGEF11;ARHGEF12;PDE4D;PPP2R5A;REXO2;DNM2;ACTA2;TFDP1;GFOD1;PEAK1;COL6A2;PDE5A;PPP1R12B;SOS1;DOCK1;USP13;GTF2A2;CAMK2D;LAMA2;LAMA4;LEF1;HDAC8;HDAC9;PSMB10;CDC42;MAPK8;ZNRF3;GNG5;ERBB4;POLR2F;NCAM1;EIF4E;MTA3;POLR2K;CLASP1;POLR2L;CLASP2;TCF7L2;PPP1R14A;USP25;TCF7L1;KDM4C;ANGPT1;NDUFA5;PCDH7;CDC42BPA;HSPE1;ACTC1;FMNL2;KANSL1;ABHD17A;TNRC6A;TNRC6B
10,down,Formation Of ATP By Chemiosmotic Coupling R-HSA-163210, 12/16,6.70E-11,9.69E-09,35.67870968,835.8383691,ATP5PF;ATP5F1B;ATP5MC2;ATP5PO;ATP5MC3;ATP5F1C;ATP5F1D;ATP5MG;ATP5F1E;ATP5MF;ATP5MC1;ATP5ME
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
